algorithm,prior_knowledge,tau_max,target,shd,true_positives,false_positives,false_negatives,reversed_edges,unoriented_edges,n_predicted_edges,n_true_edges,undirected_weight,n_edges_lagged,runtime_seconds,completed,assumptions_met
pc,none,0,gt_projected,48.5,2,23,18,5,5,35,30,0.5,35,2.728,True,False
pc,none,0,gt_projected_cpdag,47.0,4,23,18,4,4,35,30,0.5,35,2.728,True,False
pc,none,0,gt_induced,47.5,2,24,17,4,5,35,28,0.5,35,2.728,True,False
pc,none,0,gt_induced_cpdag,46.0,4,24,17,3,4,35,28,0.5,35,2.728,True,False
pc,controller_loops,0,gt_projected,47.5,4,23,18,5,3,35,30,0.5,35,2.039,True,False
pc,controller_loops,0,gt_projected_cpdag,47.0,4,23,18,4,4,35,30,0.5,35,2.039,True,False
pc,controller_loops,0,gt_induced,46.5,4,24,17,4,3,35,28,0.5,35,2.039,True,False
pc,controller_loops,0,gt_induced_cpdag,46.0,4,24,17,3,4,35,28,0.5,35,2.039,True,False
pc_manual,none,0,gt_projected,48.0,4,23,18,6,2,35,30,0.5,35,0.082,True,False
pc_manual,none,0,gt_projected_cpdag,47.5,3,23,18,4,5,35,30,0.5,35,0.082,True,False
pc_manual,none,0,gt_induced,47.0,4,24,17,5,2,35,28,0.5,35,0.082,True,False
pc_manual,none,0,gt_induced_cpdag,46.5,3,24,17,3,5,35,28,0.5,35,0.082,True,False
pcmci_plus,none,1,gt_projected,58.0,7,36,14,7,2,52,30,0.5,78,13.169,True,False
pcmci_plus,none,1,gt_projected_cpdag,56.5,7,36,14,4,5,52,30,0.5,78,13.169,True,False
pcmci_plus,none,1,gt_induced,59.0,6,38,14,6,2,52,28,0.5,78,13.169,True,False
pcmci_plus,none,1,gt_induced_cpdag,57.5,6,38,14,3,5,52,28,0.5,78,13.169,True,False
pcmci_plus,controller_loops,1,gt_projected,57.0,8,36,14,6,2,52,30,0.5,78,13.035,True,False
